Id,SalePrice
1461,204704.6912448277
1462,159031.22063299234
1463,216376.072320772
1464,175228.30919604527
1465,288778.2387936122
1466,165087.40850507154
1467,262906.9761664581
1468,218700.37561266578
1469,179270.2316699985
1470,117270.0940342712
1471,131809.03959322802
1472,384551.8845021308
1473,132206.837919028
1474,227636.4501341182
1475,147841.2575377311
1476,151792.13357177714
1477,166147.29352211603
1478,107242.95023163641
1479,163196.38721214072
1480,130944.05858451105
1481,306431.3918105636
1482,110055.6625925519
1483,264297.9230409493
1484,135474.84773521766
1485,145896.7932456846
1486,265635.4985848828
1487,123422.97196651646
1488,269868.03717150073
1489,179259.9181943168
1490,66774.94988906966
1491,86282.96289398626
1492,166273.6505663863
1493,229281.0990533753
1494,170050.96629688528
1495,336022.8428752471
1496,300782.07669322635
1497,159740.09999855724
1498,150421.8967263404
1499,124992.80660448619
1500,76939.65328584891
1501,156189.15422723372
1502,140156.71447676292
1503,150059.82488682528
1504,139451.4927134543
1505,133500.8020961152
1506,348673.85845159134
1507,264501.543226653
1508,267994.34676046413
1509,105206.02050472319
1510,127749.09272806603
1511,178168.1728662632
1512,119851.46207589423
1513,124925.40180806129
1514,363948.5603555215
1515,113683.40579662018
1516,173872.7833673139
1517,237509.5646915692
1518,211639.6641933336
1519,457006.47463254933
1520,87813.77672097436
1521,175639.7871621747
1522,71981.99761243782
1523,244350.98688441864
1524,135485.61523997015
1525,227724.01416530565
1526,310378.26117401593
1527,228240.43564787123
1528,214763.96610180975
1529,75504.43441130058
1530,222848.64191509655
1531,246109.88638257352
1532,109399.9223977651
1533,197903.21884964418
1534,140703.46275616076
1535,102961.03618314536
1536,108365.84896788525
1537,112468.36426406156
1538,112504.14614605135
1539,143570.67162057315
1540,101531.16844552557
1541,184216.67767436965
1542,170334.259879341
1543,259623.38055474544
1544,136565.4664892893
1545,199289.6748373265
1546,282017.01801344124
1547,197089.62274272752
1548,153921.66968169378
1549,102474.95552815951
1550,118141.36536229856
1551,84806.33893991483
1552,136133.4033743363
1553,130085.80423209548
1554,179157.86167706305
1555,201600.61303516256
1556,179256.73165019916
1557,216385.13549071446
1558,105249.5114750563
1559,87306.05262303422
1560,109690.29296287545
1561,193594.08689579868
1562,163466.2580979888
1563,104265.05720375828
1564,206994.6777324275
1565,174415.41963628912
1566,265938.42413005047
1567,91766.48228366743
1568,103467.75212569418
1569,118300.98648409487
1570,210002.9136452811
1571,170591.13266849436
1572,203528.13059121685
1573,287644.6814654346
1574,165775.73130132502
1575,223147.77944280498
1576,158817.4408238437
1577,121041.05641976662
1578,153953.06489179202
1579,300010.8979933674
1580,167680.27320833888
1581,177907.8028141479
1582,89591.53680804034
1583,132470.11327187764
1584,168858.7259356412
1585,195287.06706304627
1586,85580.92105521541
1587,141168.70072440163
1588,69901.3939497117
1589,133726.10655821336
1590,139591.82665265445
1591,207581.42892014585
1592,212257.2266093447
1593,156597.44152891287
1594,236506.1705950026
1595,180670.37347439933
1596,192664.9263412176
1597,135046.1431390323
1598,232192.37053930853
1599,259409.04209387908
1600,193466.9590533335
1601,85071.6725773227
1602,228927.4390168268
1603,134868.18659600383
1604,214373.84356465354
1605,169329.7832207235
1606,182410.32986200403
1607,98480.32186583546
1608,245663.73025073856
1609,166487.89455870492
1610,118226.20659858664
1611,123405.26050719211
1612,272797.3875242574
1613,201851.5335176778
1614,163730.12769611133
1615,125709.66886191489
1616,96909.1302764361
1617,104530.32052701351
1618,271284.7477881005
1619,225572.906303689
1620,262189.57785304193
1621,177147.93192893034
1622,405661.2995643157
1623,211451.95198640518
1624,93674.17346448358
1625,171865.12343725224
1626,119119.54193792725
1627,188590.25285416096
1628,277523.3653436883
1629,208632.012074208
1630,242694.0639335923
1631,136796.7614435742
1632,172204.68417553604
1633,196407.90795686923
1634,162079.8118279092
1635,194123.33684340748
1636,194904.7292154152
1637,200151.6934011256
1638,172407.12320788763
1639,423149.16491033626
1640,119426.87711517967
1641,169173.5592753617
1642,162191.45789361605
1643,131537.7228519707
1644,234210.39701001951
1645,121986.00529538083
1646,455796.0066549743
1647,196690.38790816406
1648,146415.9920299193
1649,116263.8112238769
1650,257708.57316405256
1651,259403.16023113113
1652,195955.89540866797
1653,213259.67516419
1654,196646.21882928337
1655,120042.29886319302
1656,138345.36370208242
1657,234472.84315054468
1658,323575.81475714874
1659,161420.15825513192
1660,271840.90563937207
1661,142787.39260947215
1662,153262.92077318404
1663,120462.66360831668
1664,149446.13155880827
1665,112513.47061783471
1666,194970.6271159352
1667,173014.46052015573
1668,116213.36121136975
1669,247655.94335171487
1670,149793.62996796437
1671,83601.8163679553
1672,174950.32248588535
1673,219789.2394385914
1674,185489.62459944806
1675,150002.4334928363
1676,146158.90282819234
1677,204381.8657658433
1678,85267.88621201506
1679,213561.50843703258
1680,189668.6177010528
1681,220556.76778351644
1682,232675.27550927224
1683,147244.9038403366
1684,109735.52350613172
1685,407207.1242337094
1686,114415.20593605924
1687,272531.8705850076
1688,103251.78418509243
1689,109641.72503632098
1690,206815.54428661463
1691,137147.04012518097
1692,330384.25109140086
1693,104524.30325223261
1694,114644.64502782759
1695,205679.86719743058
1696,103196.7731195084
1697,198377.1745211141
1698,218315.6795786064
1699,270595.26963681006
1700,136845.30224154633
1701,260728.04738473264
1702,101673.19641303038
1703,112699.56900145602
1704,124145.96817695245
1705,226790.2067701834
1706,221541.56462224817
1707,164137.01912808395
1708,159866.60828867857
1709,199965.41485096153
1710,259122.75002083206
1711,104511.63483412773
1712,280994.10651014093
1713,190325.33497532748
1714,154810.38557813084
1715,131963.9456909683
1716,248717.36864202772
1717,201702.17192070873
1718,221980.6241285369
1719,208267.91203964187
1720,94193.3106958007
1721,162672.35211474053
1722,321867.0479303298
1723,144961.59915474802
1724,127022.00390610774
1725,-19576.159506044816
1726,176700.44807179994
1727,164057.4883623774
1728,161171.01663262188
1729,123804.11478220497
1730,153517.91586718068
